,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
2517,Dosrius,41.59451952,148.0,5137,690804,2.40663520
2518,"Castro, O",42.58398814,655.0,1209,713602,-8.02438871
2519,Doña Mencía,37.55542058,585.0,4935,611403,-4.35941670
2520,Doñinos de Ledesma,41.01243057,848.0,73,673701,-6.03340077
2521,Doñinos de Salamanca,40.96010600,824.0,1911,673701,-5.74640449
2522,Driebes,40.24499430,729.0,371,681903,-3.04233293
2523,Duesaigües,41.14590126,267.0,239,694305,0.93107457
2524,Dueñas,41.87792835,730.0,2755,673402,-4.54529752
2525,Dumbría,43.00716413,199.0,3137,711502,-9.11241397
2526,Durango,43.16798721,118.0,28806,754802,-2.63090395
2527,Duruelo,41.23685248,998.0,166,674002,-3.64793134
2528,Duruelo de la Sierra,41.95586246,1197.0,1225,674201,-2.93123724
2529,Durón,40.62570989,747.0,121,681903,-2.72588073
2530,Dénia,38.84122705,13.0,41672,770301,0.10661934
2531,Dévanos,41.90451683,948.0,93,674201,-1.94677074
2532,Dílar,37.07448944,881.0,1825,611803,-3.60152074
2533,Dólar,37.17930415,1210.0,619,611802,-2.99120971
2534,Dúdar,37.18650891,812.0,340,611801,-3.48276987
2535,Dúrcal,36.98811700,788.0,7159,611803,-3.56634078
2536,Ea,43.38007829,4.0,865,754801,-2.58524914
2537,Echarri,42.78071320,398.0,78,743102,-1.82538246
2538,Eibar,43.18542077,121.0,27440,752002,-2.47092183
2539,Eivissa,38.90666947,81.0,49693,645301,1.43622903
2540,Ejea de los Caballeros,42.12905622,349.0,16870,625001,-1.13778144
2541,Ejeme,40.76650698,814.0,131,673701,-5.53982312
2542,"Ejido, El",36.77576137,81.0,84144,610403,-2.81490838
2543,Ejulve,40.77480642,1114.0,194,624403,-0.55474836
2544,Elantxobe,43.40257777,80.0,391,754801,-2.64015038
2545,Elburgo/Burgelu,42.84940575,547.0,624,750102,-2.54601815
2546,Elche de la Sierra,38.44790893,630.0,3814,680202,-2.04781376
2547,Elche/Elx,38.26741662,82.0,228647,770303,-0.69775581
2548,Elciego,42.51420738,451.0,1054,750103,-2.61723872
2549,Elda,38.47878894,395.0,53540,770302,-0.79611046
2550,Elduain,43.14040117,246.0,239,752002,-2.00096769
2551,Elgeta,43.13731983,472.0,1121,752002,-2.48732293
2552,Elgoibar,43.21397052,44.0,11488,752002,-2.41650379
2553,Elgorriaga,43.13928127,148.0,226,743101,-1.68625046
2554,"Eliana, l'",39.56680347,92.0,17501,774602,-0.53062592
2555,Eljas,40.21721170,593.0,970,701001,-6.84679231
2556,Elorrio,43.12992838,183.0,7240,754802,-2.54274760
2557,Elvillar/Bilar,42.56842577,581.0,351,750103,-2.54441267
