,SO2(001):,NO(007):,NO2(008):,O3(014):,VEL(081):,DIR(082):,TEM(083):,HUM(086):,PRE(087):,RAD(088):,LLU(089):,PM10(010):,date,estacion
115,+00000.45,+00000.17,+00001.44,+00072.94,+00002.01,+00344.82,+00019.66,+00100.00,+01011.00,+00021.27,+00000.00,+00000.00,31-10-2024 05:10 ,10
116,+00000.67,+00000.14,+00001.41,+00073.06,+00001.88,+00001.04,+00019.69,+00100.00,+01011.00,+00021.23,+00000.00,+00000.00,31-10-2024 05:20 ,10
117,+00000.29,+00000.15,+00001.39,+00073.48,+00002.35,+00017.89,+00019.70,+00100.00,+01011.00,+00021.00,+00000.00,+00000.00,31-10-2024 05:30 ,10
118,+00000.45,+00000.15,+00001.94,+00072.47,+00003.21,+00041.42,+00019.69,+00100.00,+01011.00,+00021.06,+00000.00,+00000.00,31-10-2024 05:40 ,10
119,+00000.61,+00000.14,+00002.86,+00071.08,+00004.26,+00060.54,+00019.63,+00099.85,+01011.00,+00021.27,+00000.00,+00000.00,31-10-2024 05:50 ,10
120,+00000.62,+00000.20,+00005.00,+00070.35,+00003.96,+00067.64,+00019.63,+00100.00,+01011.00,+00021.31,+00000.00,+00000.00,31-10-2024 06:00 ,10
121,+00000.44,+00000.16,+00012.43,+00062.45,+00004.42,+00043.76,+00019.68,+00100.00,+01011.00,+00020.67,+00000.40,+00000.00,31-10-2024 06:10 ,10
122,+00000.36,+00000.16,+00001.88,+00074.14,+00004.68,+00042.58,+00019.65,+00100.00,+01011.00,+00020.19,+00000.00,+00000.00,31-10-2024 06:20 ,10
123,+00000.47,+00000.15,+00001.52,+00074.77,+00004.80,+00057.52,+00019.07,+00100.00,+01011.00,+00020.61,+00000.00,+00000.00,31-10-2024 06:30 ,10
124,+00000.58,+00000.14,+00001.22,+00074.87,+00002.32,+00077.97,+00018.16,+00100.00,+01011.00,+00020.48,+00000.00,+00000.00,31-10-2024 06:40 ,10
125,+00000.36,+00000.14,+00001.16,+00074.91,+00001.54,+00078.73,+00018.18,+00100.00,+01011.00,+00019.61,+00000.00,+00000.00,31-10-2024 06:50 ,10
126,+00000.41,+00000.14,+00001.23,+00074.85,+00000.99,+00074.90,+00018.46,+00100.00,+01011.00,+00017.58,+00001.40,+00000.00,31-10-2024 07:00 ,10
127,+00000.42,+00000.13,+00001.32,+00074.78,+00001.24,+00007.87,+00018.70,+00100.00,+01011.00,+00013.59,+00000.60,+00000.00,31-10-2024 07:10 ,10
128,+00000.47,+00000.13,+00001.23,+00073.87,+00003.10,+00298.39,+00018.76,+00100.00,+01011.00,+00009.43,+00000.40,+00000.00,31-10-2024 07:20 ,10
129,+00000.33,+00000.13,+00001.27,+00072.74,+00003.13,+00289.72,+00018.79,+00100.00,+01011.00,+00002.82,+00000.60,+00000.00,31-10-2024 07:30 ,10
130,+00000.36,+00000.15,+00001.28,+00072.70,+00003.72,+00290.36,+00018.79,+00100.00,+01010.84,+00001.32,+00000.20,+00000.00,31-10-2024 07:40 ,10
131,+00000.30,+00000.14,+00001.17,+00074.78,+00005.32,+00294.37,+00018.83,+00100.00,+01010.00,+00002.25,+00000.00,+00000.00,31-10-2024 07:50 ,10
132,-00000.21,+00000.19,+00001.16,+00075.57,+00004.97,+00277.80,+00018.99,+00100.00,+01010.51,+00002.25,+00000.20,+00000.00,31-10-2024 08:00 ,10
133,-00000.06,+00000.16,+00001.41,+00073.03,+00004.65,+00266.87,+00019.17,+00100.00,+01010.98,+00018.12,+00000.00,+00000.00,31-10-2024 08:10 ,10
134,+00000.30,+00000.36,+00002.16,+00070.30,+00003.00,+00266.76,+00019.06,+00100.00,+01011.00,+00056.60,+00000.20,+00000.00,31-10-2024 08:20 ,10
135,+00000.36,+00000.25,+00001.36,+00071.05,+00004.87,+00272.26,+00019.22,+00100.00,+01011.00,+00076.43,+00000.20,+00000.00,31-10-2024 08:30 ,10
136,+00000.45,+00000.30,+00001.22,+00070.29,+00007.09,+00268.83,+00019.34,+00100.00,+01011.00,+00089.29,+00000.00,+00000.00,31-10-2024 08:40 ,10
137,+00000.65,+00000.19,+00001.24,+00073.05,+00006.39,+00272.06,+00019.60,+00100.00,+01011.00,+00102.54,+00000.00,+00000.00,31-10-2024 08:50 ,10
138,+00000.68,+00000.20,+00001.36,+00073.95,+00005.21,+00299.55,+00019.92,+00100.00,+01011.00,+00094.55,+00000.00,+00000.00,31-10-2024 09:00 ,10
139,+00000.32,+00000.35,+00001.60,+00072.07,+00004.56,+00302.64,+00019.96,+00100.00,+01011.00,+00085.87,+00000.00,+00000.00,31-10-2024 09:10 ,10
140,+00000.24,+00000.28,+00001.47,+00071.90,+00003.92,+00303.14,+00019.96,+00100.00,+01011.01,+00136.90,+00000.00,+00000.00,31-10-2024 09:20 ,10
141,+00000.41,+00000.27,+00001.81,+00071.24,+00004.49,+00310.34,+00020.00,+00100.00,+01011.03,+00092.68,+00000.00,+00000.00,31-10-2024 09:30 ,10
142,+00000.60,+00000.23,+00001.55,+00071.36,+00003.69,+00302.42,+00020.08,+00100.00,+01011.19,+00098.14,+00000.00,+00000.00,31-10-2024 09:40 ,10
143,+00000.41,+00000.25,+00001.66,+00071.64,+00004.15,+00313.87,+00020.11,+00100.00,+01011.08,+00133.09,+00000.00,+00000.00,31-10-2024 09:50 ,10
144,+00000.22,+00000.23,+00001.35,+00071.37,+00003.41,+00311.39,+00020.29,+00100.00,+01011.90,+00248.88,+00000.00,+00000.00,31-10-2024 10:00 ,10
145,+00000.38,+00000.24,+00001.33,+00071.09,+00002.34,+00334.46,+00020.67,+00100.00,+01012.00,+00283.12,+00000.00,+00000.00,31-10-2024 10:10 ,10
146,+00000.30,+00000.25,+00001.41,+00071.18,+00003.47,+00311.69,+00020.80,+00100.00,+01012.00,+00207.30,+00000.00,+00000.00,31-10-2024 10:20 ,10
147,+00000.23,+00000.24,+00001.32,+00070.60,+00003.88,+00334.00,+00020.53,+00100.00,+01012.00,+00182.22,+00000.00,+00000.00,31-10-2024 10:30 ,10
148,+00000.16,+00000.21,+00001.34,+00071.54,+00003.73,+00335.24,+00020.39,+00100.00,+01012.00,+00221.99,+00000.00,+00000.00,31-10-2024 10:40 ,10
149,+00000.31,+00000.24,+00001.43,+00072.68,+00003.40,+00312.07,+00020.62,+00100.00,+01012.00,+00289.62,+00000.00,+00000.00,31-10-2024 10:50 ,10
150,+00000.27,+00000.22,+00001.48,+00072.89,+00003.29,+00018.20,+00020.66,+00100.00,+01012.00,+00174.09,+00000.00,+00000.00,31-10-2024 11:00 ,10
151,+00000.18,+00000.21,+00001.41,+00072.94,+00003.54,+00013.42,+00020.53,+00100.00,+01012.00,+00175.63,+00000.00,+00000.00,31-10-2024 11:10 ,10
152,+00000.35,+00000.46,+00002.75,+00074.02,+00003.55,+00024.86,+00020.45,+00100.00,+01012.00,+00196.11,+00000.00,+00000.00,31-10-2024 11:20 ,10
